location_name,latitude,longitude
Vashi,19.0734,72.9972
Airoli,19.159,72.9986
Nerul,19.033,73.0297
New Panvel,18.9919,73.1265
Uran,18.885,72.95
Kalamboli,19.0335,73.12
Wadi,19.1213,73.1395
Nilje Gaon,19.1659,73.0726
Navi Mumbai Intl Airport,18.9883,73.0652
Badlapur,19.1357,73.1962
Mulund,19.1733,72.9495
Powai,19.1251,72.8845
Chembur,19.0632,72.9024
Worli,19.0197,72.8475
Mumbai City,18.979853,72.833747
Nhava,18.96127,72.986389
Shirdhon,18.9254,73.1437
Khanav,19.0423,73.171
Malabar Hills,18.95806,72.80318
Versova,19.12591,72.82054
Juhu,19.1015,72.82679
Ambernath,19.19714,73.2424
Mumbra,19.19925,73.02163
Thane,19.19695,72.98242
Worli Seaface,18.99679,72.81688
Pune, 18.51939, 73.88837
